"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"v";-0,912;-0,606;4,705;4,705;-0,859;-1,325
"três";0,459;1,121;-0,47;-0,47;0,536;-0,99
"tanto";-0,912;-0,606;0,473;4,705;0,163;-1,325
"segundo";0,122;-0,606;0,473;-0,63;-0,859;1,424
"primeiro";0,459;-0,452;1,042;-0,47;-0,641;0,127
"isso";2,736;-0,606;-0,63;0,473;0,163;-1,325
"esta";2,736;-0,606;-0,63;0,473;-0,859;0
"contra";0,122;-0,606;-0,63;4,705;-0,859;0
"terceiro";-0,681;7,786;-0,47;-0,47;0,536;-0,99
"tempo";-0,681;-0,452;-0,47;7,44;0,536;-0,99
"somente";0,459;-0,452;-0,47;-0,47;0,536;0,127
"essa";-0,681;7,786;1,042;-0,47;-0,641;-0,99
"apesar";-0,681;-0,452;-0,47;1,042;0,536;0,127
"*cod_10778083";1,356;-0,3;-0,312;-0,312;-0,425;0,705
"*ori_outra";-1,097;-4,715;0,708;0,708;0,877;0,228
"*tipo_proc_agravo_de_instrumento";1,267;-57,089;4,815;-0,486;-0,049;15,144
"*ano_2024";-4,645;-8,497;2,299;3,867;-0,606;4,58
"*rel_ricardo_moreira_lins_pastl";1,356;-0,3;-0,312;-0,312;-0,425;0,705
"*cod_10782026";-0,912;-0,606;0,473;0,473;-0,859;1,424
"*rel_eduardo_augusto_dias_bainy";-1,146;-0,761;0,192;0,192;0,024;0,659
"*cod_10782763";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*rel_glaucia_dipp_dreher";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*cod_10726012";-0,225;-0,149;-0,155;-0,155;4,765;-0,327
"*cod_10672236";-0,452;-0,3;-0,312;-0,312;-0,425;6,201
"*ori_porto_alegre";-1,411;-4,954;0,005;5,786;-0,303;1,773
"*rel_luiz_augusto_guimaraes_de_souza";-0,452;-0,3;-0,312;-0,312;-0,425;6,201
"*cod_10611160";-0,452;-0,3;-0,312;-0,312;-0,425;6,201
"*rel_roberto_arriada_lorea";-1,859;-0,001;-1,283;-1,283;0,332;6,449
"*cod_10530261";4,756;-0,452;-0,47;-0,47;0,536;-0,99
"*tipo_proc_apelação_cível";-3,441;64,721;-3,614;1,103;0,058;-17,207
"*rel_luiz_felipe_brasil_santos";1,037;-11,37;2,299;3,867;10,673;-15,358
"*cod_10529965";-0,187;-1,234;4,157;4,157;-1,749;-0,651
"*rel_joão_ricardo_dos_santos_costa";0;-1,528;0,482;0,001;-1,174;1,837
"*cod_10497754";-0,225;-0,149;-0,155;-0,155;4,765;-0,327
"*rel_vera_lucia_deboni";-0,452;-0,3;-0,312;-0,312;9,573;-0,657
"*cod_10494898";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*ori_santa_maria";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*rel_carlos_eduardo_zietlow_duro";0,122;-0,606;-0,63;4,705;-0,859;0
"*cod_10442229";0,01;-0,761;-0,791;-0,791;1,815;0,659
"*rel_jane_maria_köhler_vidal";0,01;-0,761;-0,791;-0,791;1,815;0,659
"*cod_10408854";-0,681;-0,452;1,042;-0,47;-0,641;2,911
"*cod_10328738";-0,452;2,458;-0,312;-0,312;1,491;-0,657
"*ori_canguçu";-1,146;0,226;0,192;0,192;0,024;-0,057
"*cod_10330142";-0,452;-0,3;-0,312;-0,312;-0,425;6,201
"*ori_caxias_do_sul";-1,381;-0,917;2,113;-0,953;-1,3;5,902
"*cod_10306088";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*rel_sandra_brisolara_medeiros";-2,215;82,679;-4,549;-2,311;-3,764;-1,335
"*cod_10292350";-0,912;-0,606;4,705;-0,63;-0,859;1,424
"*rel_josé_antônio_daltoe_cezar";0,873;0,048;-0,768;-0,143;-2,433;1,841
"*cod_10235923";-1,146;-0,761;9,577;3,121;-1,078;-1,664
"*cod_10236451";-2,345;-1,557;-0,104;19,603;0,049;-1,197
"*cod_10141060";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*ano_2023";0,913;-1,628;-0,617;-1,794;0,016;2,914
"*cod_10128733";-0,681;1,121;-0,47;-0,47;0,536;0,127
"*cod_10069883";0;0;0;0;0;0
"*ori_santa_cruz_do_sul";0;0;0;0;0;0
"*rel_leandro_figueira_martins";-0,225;-0,149;-0,155;-0,155;4,765;-0,327
"*cod_10063251";-0,452;-0,3;-0,312;-0,312;1,491;0,705
"*ori_passo_fundo";-1,381;2,274;-0,953;0,057;1,087;-0,207
"*cod_10027967";0;0;0;0;0;0
"*cod_10028643";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*cod_10020598";-0,225;-0,149;-0,155;-0,155;4,765;-0,327
"*cod_10014210";0,459;-0,452;-0,47;-0,47;-0,641;2,911
"*ori_panambi";0,459;-0,452;-0,47;-0,47;-0,641;2,911
"*cod_9973961";1,356;-0,3;-0,312;-0,312;-0,425;0,705
"*rel_mauro_caum_gonçalves";1,074;-4,127;7,103;-1,067;-2,667;0,641
"*cod_9969615";4,756;-0,452;-0,47;-0,47;-0,641;0,127
"*ori_rio_grande";4,756;-0,452;-0,47;-0,47;-0,641;0,127
"*cod_9976720";0,459;-0,452;-0,47;-0,47;-0,641;2,911
"*ori_camaquã";1,61;-0,761;-0,791;-0,791;0,024;0,659
"*cod_9969333";-0,452;-0,3;-0,312;13,05;-0,425;-0,657
"*cod_9967228";0,459;-0,452;7,44;-0,47;-0,641;-0,99
"*cod_9463805";-0,225;-0,149;-0,155;-0,155;4,765;-0,327
"*cod_9460452";1,356;-0,3;-0,312;-0,312;-0,425;0,705
"*ori_tapes";1,356;-0,3;-0,312;-0,312;-0,425;0,705
"*cod_9450979";0,459;-0,452;-0,47;-0,47;0,536;0,127
"*ori_sapiranga";0,459;-0,452;-0,47;-0,47;0,536;0,127
"*cod_9423376";-0,225;6,754;-0,155;-0,155;-0,212;-0,327
"*ori_osório";4,142;0,076;-0,953;2,113;-1,3;-2,006
"*cod_9423804";-0,452;-0,3;2,331;-0,312;1,491;-0,657
"*ori_sapucaia_do_sul";-0,011;-0,917;0,057;0,057;-0,002;0,257
"*cod_9386069";2,736;-0,606;0,473;-0,63;-0,859;0
"*ori_sobradinho";2,736;-0,606;0,473;-0,63;-0,859;0
"*ano_2022";0,44;-5,351;4,78;-1,495;-0,508;1,153
"*cod_9373502";-0,452;-0,3;-0,312;-0,312;1,491;0,705
"*cod_9351585";1,356;-0,3;-0,312;-0,312;1,491;-0,657
"*cod_9255266";0,122;-0,606;4,705;-0,63;0,163;-1,325
"*ori_santa_rosa";0,122;-0,606;4,705;-0,63;0,163;-1,325
"*cod_9255526";0,459;-0,452;7,44;-0,47;-0,641;-0,99
"*ori_são_leopoldo";0,459;-0,452;7,44;-0,47;-0,641;-0,99
"*cod_9994594";0,122;-0,606;-0,63;0,473;-0,859;1,424
"*ori_vacaria";0,122;-0,606;-0,63;0,473;-0,859;1,424
"*cod_9170892";0;0;0;0;0;0
"*tipo_proc_agravo_de_execução_penal";0;0;0;0;0;0
"*rel_manuel_josé_martinez_lucas";0;0;0;0;0;0
"*cod_9983435";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*ori_farroupilha";0,21;-2,052;-0,387;-2,134;7,929;-0,016
"*cod_9148558";0,459;-0,452;1,042;-0,47;-0,641;0,127
"*ori_novo_hamburgo";0,459;-0,452;1,042;-0,47;-0,641;0,127
"*cod_9148912";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"*ori_erechim";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"*tipo_proc_conflito_de_competência";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"*cod_9071992";-0,452;-0,3;2,331;-0,312;-0,425;0,705
"*ori_gravataí";-2,101;34,969;-0,042;-1,45;-1,977;-0,915
"*cod_9072001";-0,681;-0,452;1,042;1,042;-0,641;0,127
"*cod_9063519";0;0;0;0;0;0
"*cod_8996420";1,356;-0,3;-0,312;-0,312;-0,425;0,705
"*ano_2021";0,931;-0,917;-0,953;2,113;-1,3;0,257
"*cod_8928855";0,459;-0,452;-0,47;7,44;-0,641;-0,99
"*ori_santa_vitória_do_palmar";0,459;-0,452;-0,47;7,44;-0,641;-0,99
"*cod_8912163";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*ori_júlio_de_castilhos";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*cod_8738328";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*ori_santa_bárbara_do_sul";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*ano_2020";-0,16;5,667;-0,218;0,049;-0,089;-1,082
"*rel_rosana_broglio_garbin";-0,225;-0,149;-0,155;-0,155;-0,212;3,087
"*cod_8694393";4,756;-0,452;-0,47;-0,47;-0,641;0,127
"*ori_pelotas";1,417;-1,394;-0,042;-1,45;4,766;-0,915
"*cod_8694939";0,459;-0,452;-0,47;1,042;-0,641;0,127
"*ori_viamão";3,295;-1,557;0,394;-0,104;-0,4;-0,117
"*cod_8640812";-1,146;-0,761;3,121;-0,791;6,451;-1,664
"*ori_charqueadas";-1,146;-0,761;3,121;-0,791;6,451;-1,664
"*cod_8597353";-0,912;13,915;-0,63;0,473;-0,859;-1,325
"*ori_canoas";-2,841;43,32;-1,961;1,473;-2,673;-4,126
"*cod_8598548";-0,912;13,915;-0,63;0,473;-0,859;-1,325
"*cod_8239373";-0,452;-0,3;-0,312;13,05;-0,425;-0,657
"*ano_2019";-0,452;-0,3;-0,312;13,05;-0,425;-0,657
"*cod_8054835";4,756;-0,452;-0,47;-0,47;-0,641;0,127
"*ano_2018";1,634;-3,446;0,016;-1,488;2,007;-0,007
"*cod_8019192";0,122;-0,606;-0,63;-0,63;0,163;1,424
"*cod_7956993";0,122;-0,606;4,705;-0,63;0,163;-1,325
"*cod_7863519";-0,011;-0,917;0,057;-0,953;10,402;-2,006
"*cod_7758537";0,122;-0,606;-0,63;0,473;-0,859;1,424
"*cod_7410007";-0,681;7,786;-0,47;1,042;-0,641;-0,99
"*ano_2017";-1,619;21,928;-1,117;1,435;-1,523;-2,352
"*rel_liselena_schifino_robles_ribeiro";-0,681;7,786;-0,47;1,042;-0,641;-0,99
"*cod_7252894";-0,225;-0,149;-0,155;6,496;-0,212;-0,327
"*rel_rui_portanova";-1,146;-0,761;-0,791;3,121;6,451;-1,664
"*cod_7249092";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"*cod_7106842";2,736;-0,606;0,473;-0,63;0,163;-1,325
"*ori_dom_pedrito";2,736;-0,606;0,473;-0,63;0,163;-1,325
"*ano_2016";0,042;14,261;-1,334;-1,334;-0,089;-1,082
"*cod_7018216";-0,912;27,386;-0,63;-0,63;-0,859;-1,325
"*ori_bom_jesus";-0,912;27,386;-0,63;-0,63;-0,859;-1,325
"*cod_6955172";0,122;-0,606;-0,63;-0,63;0,163;1,424
"*ori_frederico_westphalen";0,122;-0,606;-0,63;-0,63;0,163;1,424
"*cod_6875010";-0,912;27,386;-0,63;-0,63;-0,859;-1,325
"*cod_6828774";0,122;-0,606;-0,63;0,473;0,163;0
"*ori_santana_do_livramento";0,122;-0,606;-0,63;0,473;0,163;0
"*cod_6557060";-0,912;-0,606;0,473;4,705;0,163;-1,325
"*ori_planalto";-0,912;-0,606;0,473;4,705;0,163;-1,325
"*ano_2015";-0,324;8,254;-0,042;0,63;-0,259;-3,052
"*cod_6530077";0,01;20,402;-0,791;-0,791;-1,078;-1,664
"*ori_alvorada";0,01;20,402;-0,791;-0,791;-1,078;-1,664
"*cod_5765606";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"*tipo_proc_reexame_necessário";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"*ano_2014";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"*cod_5596873";0,249;-1,234;-0,006;-1,283;11,73;-2,7
"*ano_2013";-0,266;0,71;-0,627;-0,627;14,427;-5,232
"*cod_5404834";-0,912;-0,606;-0,63;0,473;9,394;-1,325
"*cod_5293097";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
