"";"X.ano_2013";"X.ano_2014";"X.ano_2015";"X.ano_2016";"X.ano_2017";"X.ano_2018";"X.ano_2019";"X.ano_2020";"X.ano_2021";"X.ano_2022";"X.ano_2023";"X.ano_2024"
"determinado";0,3108;-0,1329;-0,2058;-0,1367;-0,2286;1,1505;0,7023;0,94;-0,2333;-0,4821;0,3861;-1,057
"abandono";0,9107;-0,124;2,0757;0,2038;-0,2134;-0,4124;-0,0897;-0,5113;-0,2177;-0,4343;1,2164;-0,96
"pleito";-0,2331;-0,1063;-0,1647;-0,3656;-0,1829;0,2542;-0,0769;2,7825;0,4568;-0,8297;0,304;-0,3882
"confirmar";0,4105;0,697;0,5323;0,7746;1,2754;-0,324;-0,0705;-0,4017;-0,171;-0,7605;0,3619;-0,6789
"vulnerabilidade";-0,1943;-0,0885;-0,1372;-0,3046;-0,1524;0,8659;0,8629;1,3894;0,5215;-0,6914;-0,4812;-0,2649
"descabimento";0,9107;-0,124;-0,1921;-0,4265;-0,2134;-0,4124;-0,0897;1,661;1,071;-0,4343;-0,4079;-0,2658
"assim";0,4429;-0,0885;-0,1372;-0,3046;-0,1524;-0,2945;3,4653;-0,3652;-0,1555;-0,2558;-0,2006;0,3404
"restar";-0,2526;-0,1151;-0,1784;0,6605;-0,1981;0,682;-0,0833;0,5491;0,4293;-0,3877;0,2557;-0,4552
"04";-0,2137;-0,0974;0,5323;0,2694;1,2754;0,2792;-0,0705;0,6564;-0,171;-0,7605;-1,1612;0,5678
"verificar";-0,2915;0,5791;0,4231;2,6231;2,8533;-0,4419;-0,0961;-0,5479;-0,2333;-0,4821;-0,4667;-1,057
"idade";-0,447;-0,2038;0,2868;0,696;0,2565;-0,2601;0,5409;-0,3602;-0,3578;-0,2554;0,4255;0,2966
"relação";-0,1943;-0,0885;-0,1372;-0,3046;-0,1524;0,3076;-0,064;3,2205;-0,1555;-0,2558;-0,4812;-0,2649
"nascimento";-0,2331;-0,1063;2,2743;1,3671;1,206;-0,3535;-0,0769;-0,4382;-0,1866;-0,3423;-0,2981;-0,7708
"josé";-0,2915;-0,1329;-0,2058;-0,457;-0,2286;1,1505;-0,0961;2,2923;0,3813;0,7736;-0,8735;-1,057
"antônio";-0,2526;-0,1151;-0,1784;-0,3961;-0,1981;1,3102;-0,0833;2,6013;0,4293;0,2288;-0,7116;-0,8645
"daltoe";-0,2526;-0,1151;-0,1784;-0,3961;-0,1981;1,3102;-0,0833;2,6013;0,4293;0,2288;-0,7116;-0,8645
"cezar";-0,2526;-0,1151;-0,1784;-0,3961;-0,1981;1,3102;-0,0833;2,6013;0,4293;0,2288;-0,7116;-0,8645
"público";-0,272;1,5025;1,164;0,2038;-0,2134;0,2124;-0,0897;0,5041;1,071;0,4683;-1,4781;-0,96
"fazer";-0,1943;-0,0885;0,5672;0,2975;0,5289;0,3076;-0,064;0,721;-0,1555;-0,6914;-0,4812;0,3404
"negar";1,1672;-0,0885;1,4346;-0,3046;-0,1524;1,6238;-0,064;-0,3652;-0,1555;-0,2558;-0,4812;-0,5893
"provimento";0,8607;-0,1329;0,4231;0,5686;0,388;0,5889;1,705;-0,5479;-0,2333;-0,4821;-0,4667;-0,5981
"impossibilidade";0,4429;-0,0885;0,5672;0,2975;0,5289;0,3076;-0,064;0,2452;0,5215;-0,6914;-0,2006;-0,5893
"imediato";-0,2526;-0,1151;-0,1784;-0,3961;-0,1981;3,0058;-0,0833;-0,1441;0,4293;0,9527;-0,7116;-0,8645
"todo";-0,4276;0,4418;0,3001;0,352;0,758;-0,6483;-0,141;0,2682;0,2634;1,0333;0,478;-1,7669
"fim";-0,2331;-0,1063;0,5009;1,3671;0,4639;-0,3535;-0,0769;0,1969;-0,1866;0,5948;-0,2981;-0,7708
"preliminar";-0,2915;-0,1329;1,1106;0,5686;1,8673;-0,4419;-0,0961;3,145;-0,2333;-1,0373;-0,4667;-1,8242
"ausência";0,4429;-0,0885;-0,1372;-0,3046;-0,1524;-0,2945;-0,064;1,3894;0,5215;1,3292;-0,4812;-1,2158
"rejeitar";-0,2331;-0,1063;1,2859;0,7143;2,1496;-0,3535;-0,0769;1,9106;-0,1866;-0,8297;-0,6329;-1,4592
"biológico";2,169;-0,1594;0,9732;0,9272;0,8988;-0,5304;-0,1153;-0,6575;-0,28;-1,2449;1,1376;-2,1894
"desacolhimento";0,8607;-0,1329;0,4231;-0,457;-0,2286;1,8549;0,7023;0,4637;0,3813;-0,4821;-0,2299;-1,8242
"maior";-0,1943;-0,0885;-0,1372;0,8427;0,5289;-0,2945;-0,064;0,721;-0,1555;0,3516;0,4319;-1,2158
"atendimento";-0,2331;5,646;0,5009;-0,3656;-0,1829;-0,3535;0,7899;-0,4382;-0,1866;0,2634;0,304;-1,4592
"constituição";-0,3303;0,5331;-0,2333;-0,1684;-0,2591;0,5121;-0,1089;-0,621;0,341;1,0351;1,2652;-2,0677
"federal";-0,3303;0,5331;-0,2333;-0,1684;-0,2591;0,5121;-0,1089;-0,621;0,341;1,0351;1,2652;-2,0677
"sociedade";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"estado";0,3108;0,5791;-0,2058;-0,457;0,388;-0,4419;-0,0961;-0,5479;-0,2333;1,2414;1,5714;-1,8242
"jovem";-0,2331;-0,1063;-0,1647;0,7143;-0,1829;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"absoluto";0,2914;1,3938;-0,2196;-0,1523;0,3669;-0,4714;-0,1025;-0,5844;-0,2488;1,1327;0,9587;-1,9459
"alimentação";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"educação";-0,2526;0,6329;-0,1784;-0,3961;1,1432;-0,383;-0,0833;-0,4748;-0,2022;0,9527;1,3745;-1,5808
"lazer";-0,2526;0,6329;-0,1784;-0,3961;0,4362;-0,383;-0,0833;-0,4748;-0,2022;0,9527;1,9695;-1,5808
"profissionalização";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"cultura";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"dignidade";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"colocá";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"discriminação";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"exploração";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"violência";-0,272;0,6049;-0,1921;-0,4265;0,411;-0,4124;-0,0897;-0,5113;-0,2177;1,9812;1,2164;-1,7025
"crueldade";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"opressão";-0,2331;0,6634;-0,1647;-0,3656;0,4639;-0,3535;-0,0769;-0,4382;-0,1866;1,0609;1,5577;-1,4592
"prever";-0,3887;1,2169;-0,2745;-0,6095;-0,3049;0,855;-0,1281;0,3121;0,8101;1,2074;0,3574;-2,4329
"mauro";-0,272;-0,124;-0,1921;-0,4265;-0,2134;-0,4124;-0,0897;-0,5113;0,4042;2,7097;1,2164;-1,7025
"caum";-0,272;-0,124;-0,1921;-0,4265;-0,2134;-0,4124;-0,0897;-0,5113;0,4042;2,7097;1,2164;-1,7025
"gonçalves";-0,3109;-0,1417;1,0614;-0,4875;-0,2439;-0,4714;-0,1025;-0,5844;0,3604;2,3037;0,9587;-1,9459
"05";0,3108;0,5791;-0,2058;-0,457;-0,2286;0,5889;0,7023;-0,5479;-0,2333;2,4952;-0,2299;-1,8242
"encontrar";0,3108;-0,1329;0,4231;1,8068;0,388;0,1948;-0,0961;0,94;0,3813;-0,4821;-0,4667;-1,8242
"2022";-0,2915;-0,1329;-0,2058;-0,457;-0,2286;-0,4419;-0,0961;-0,5479;-0,2333;8,9431;-0,4667;-1,8242
"inserção";0,4105;-0,0974;-0,1509;1,4702;0,4946;3,4028;-0,0705;-0,4017;-0,171;-0,2983;-1,1612;-1,3375
"citação";-0,272;-0,124;1,164;0,6122;1,0859;-0,4124;-0,0897;5,475;-0,2177;-0,9681;-1,4781;-1,7025
"edital";0,4105;-0,0974;1,3563;0,7746;1,2754;-0,324;-0,0705;2,0585;-0,171;-0,7605;-1,1612;-1,3375
